bin	UV_mean_fpkm
285	518.4930190000007
286	1139.2788193333338
287	142.6028753333334
288	537.4892779999993
289	239.52893633333338
290	394.4606426666663
291	558.7239216666668
292	400.2803366666663
293	19.470674
294	55.863427
295	522.001480999999
296	158.91270966666698
297	3675.1995713333336
298	4529.793848000003
299	2650.4377460000037
300	335.931684
301	352.2563983333334
302	278.8795833333333
303	221.618196
304	233.61741899999998
305	6504.066395333333
306	1065.5843570000006
307	134.33503
308	273.9880596666664
309	297.006711666667
310	162.23081
311	7136.636579999999
312	875.2979413333334
313	348.8665176666663
314	215.84072366666672
315	190.6675656666667
316	286.58642300000037
317	2280.7453536666662
318	264.789182
319	338.2265363333337
320	533.5814736666666
321	1050.3478640000003
322	589.4993896666667
323	488.56647266666596
324	505.98965066666676
325	185.8495336666667
326	1176.68971
327	1081.1064053333337
328	1938.8653259999971
329	2089.23203666667
330	181.39907333333332
331	73.5930446666667
332	196.53539533333338
333	403.30296533333336
334	460.0961563333333
335	5090.174213333327
336	177.4571346666666
337	1786.5934903333336
338	171.99471300000008
339	347.567637333333
340	173.09650833333328
341	111.12272933333334
342	663.1216239999997
343	153.4640383333334
344	1313.7810216666703
345	576.5707356666671
346	2213.52236166667
347	335.2088199999997
348	448.8248859999996
349	67.925009
350	212.1851503333334
351	141.1053973333333
352	180.8972453333333
353	151.82888633333332
354	163.88954533333327
355	768.6074580000001
356	3613.6496816666663
357	150.5187666666666
358	223.786787
359	4446.401057000005
360	367.7879543333334
361	1307.8649049999997
362	1506.1630556666673
363	795.401624666667
364	540.2309183333336
365	1155.7589083333335
366	999.6119579999996
367	1288.703313
368	1084.4872746666658
369	398.69650800000034
370	318.0882883333333
371	338.0570773333336
372	312.3620316666667
373	4035.3446533333345
374	680.5075986666668
375	48.39687333333334
376	547.6029923333328
377	617.9112350000004
378	198.98735433333331
379	221.9196730000001
380	114.9337866666667
381	474.5364100000007
382	677.0748449999995
383	1357.1137809999998
384	396.907485000001
385	694.081283333334
386	1737.5612676666633
387	211.7212879999999
388	158.3624803333333
389	462.02291300000036
390	1008.2328046666672
391	2176.3976883333335
392	4231.871924000003
393	1477.3442986666676
394	177.06521900000007
395	577.1079826666659
396	1121.6918206666635
397	458.29791633333275
398	1957.0112663333339
399	267.1324743333333
400	2175.1266379999997
401	3447.763076999997
402	6096.999298999999
403	1093.4404739999998
404	1455.4172383333366
405	5129.946009666659
406	206.0492100000001
407	456.6019813333334
408	361.27563899999996
409	1030.9394976666667
410	241.8126906666668
411	11524.311836666673
412	13020.667390666671
413	145.8738683333334
414	695.218463
415	546.845952333333
