bin	ebfC_mean_fpkm
341	259.61654232999996
342	754.3152113
343	281.04284734
344	775.7423400300002
345	804.1265990699999
346	1189.8251900999999
347	1371.12401733
348	1283.0618566399999
349	48.12826233
350	205.88419066000003
351	310.02802733
352	510.5672777
353	399.26765195999997
354	369.3480656
355	1353.5334989599999
356	1157.53706133
357	314.85397668
358	613.35825887
359	3675.981372
360	344.46491967
361	1571.9396912999998
362	2404.60378274
363	2079.6295453
364	301.46347396
365	895.1148760699999
366	1031.2494283
367	1648.6488393
368	2165.02958426
369	767.6885863699999
370	388.91129193999996
371	791.9682197
372	540.71659527
373	1473.8193949699998
374	740.7052773400001
375	68.74239067
376	797.7999936299999
377	1094.46746867
378	454.96371903999994
379	488.08901303
380	264.87668099
381	1700.63741363
382	689.07171563
383	994.72934037
384	998.2006053
385	1331.1228599999997
386	491.70817666999994
387	262.693778663
388	649.7611576400001
389	1265.46452793
390	1607.4678420299997
391	841.6179644
392	1059.1536910300001
393	1945.4879153
394	180.09322233999998
395	796.3021069700001
396	680.81452294
397	1228.9099977
398	1279.5647459299998
399	129.75756234
400	1117.5159145999999
401	1997.0109967
402	3908.39332366
403	1801.33452463
404	1202.211643
405	5178.4843967
406	461.43508737
407	1180.81319817
408	807.9661489700002
409	612.69406767
410	782.006517
411	5256.2255704
412	6127.805840000001
413	180.85009497
414	494.43042404000005
415	782.75879723
416	743.7234891
417	2049.9681816700004
418	571.54301241
419	3037.7160544
420	549.94010637
421	1492.1872880299998
422	1891.0214048999999
423	7456.712555699999
424	5125.7433284
425	8514.4242647
426	4265.9222467
427	945.4540376699999
428	1865.83614007
429	664.36175397
430	2611.9232991
431	539.9213263099999
432	1130.2690080699997
433	383.98831402999997
434	409.42118833
435	3417.67788487
436	266.503077
437	1308.2664037
438	568.7986424
439	475.8927097
440	863.1043740399999
441	3476.19528233
442	325.95576299
443	2699.0231806999996
444	568.42215571
445	1100.9589004
446	1598.30916237
447	494.69562637
448	786.68707134
449	69.25502900000001
450	1078.37481163
451	2138.14652837
452	147.09066266
453	202.93936266
454	333.85442263000004
455	441.9111930700001
456	266.27366234
457	561.63616267
